next_result,weighted_average5,weighted_average10
1,-665.7333333,-1142.072727
-1,1290.6,806.2
1,149.8666667,-29.27272727
1,913.8666667,902.2727273
1,1463.733333,1658.527273
-1,1482.8,1945.018182
0,-8.733333333,684.6
0,120.2,725.2909091
0,-27.66666667,493.9636364
-1,-262.8666667,108.8727273
-1,-1051.133333,-885.4545455
-1,-1787.266667,-1908.454545
0,-1607.333333,-2040.854545
-1,-980.5333333,-1686.327273
1,-1471.533333,-2292.927273
1,518.4666667,-420.5454545
-1,1005.933333,318.3636364
1,174.6,-152.3818182
1,816.4,714.2363636
-1,1530.4,1700.327273
0,394.2666667,890.4727273
-1,514.8,1040.290909
-1,-1066.333333,-544.6545455
0,-1892.266667,-1621.509091
0,-954.5333333,-1107.490909
1,-179.2,-615.8909091
0,864.4666667,363.5272727
1,631.1333333,290.4
1,2592.933333,2473
-1,2085.333333,2509.672727
-1,274.6666667,1107.127273
1,-1024.133333,-152.9090909
0,-117.9333333,491.1454545
-1,-289.0666667,114.2363636
-1,-614.0666667,-507.2
0,-2537.066667,-2688.290909
0,-2045.133333,-2624.527273
0,-1420.533333,-2286.127273
0,-484.3333333,-1525.018182
1,-500.6666667,-1485.109091
1,310.6666667,-547.9272727
-1,1094.4,544.7090909
0,266.2,105.0909091
1,81.46666667,140.2181818
0,1006.466667,1177.945455
-1,624.6,982.2545455
0,-945.6666667,-545.7090909
0,-942.9333333,-769.0181818
-1,-873.9333333,-908.3090909
1,-1536.133333,-1770.818182
0,-85.26666667,-624.5454545
0,-271,-818.8181818
-1,-14.26666667,-501.6909091
0,-574,-948.6181818
-1,-657.1333333,-989.0727273
-1,-979.6666667,-1276.527273
1,-2141.933333,-2523.254545
-1,-462.3333333,-1118.072727
-1,-1234.133333,-1909.4
1,-1307.733333,-2076.145455
-1,77.6,-768.6545455
0,-1543.133333,-2206.654545
-1,-1142.533333,-1838.872727
1,-2532.8,-3256.436364
-1,-187.3333333,-1130.472727
1,-954.9333333,-1781.181818
1,894.6,53.4
-1,1571.733333,1058.781818
1,-1042.466667,-1110.618182
-1,5.133333333,-22.23636364
0,-439.2,-393.0363636
0,-224.6,-197.7272727
-1,-369.6,-437.8727273
-1,-1389.266667,-1565.654545
1,-2026.666667,-2387.872727
-1,-367.4666667,-1020.545455
1,-687.8,-1354.381818
-1,1056.733333,376.1272727
0,-1203.466667,-1590.109091
1,-1085.933333,-1486.709091
1,895.6,492.4909091
1,3531.066667,3345.163636
-1,6341.2,6767.618182
-1,3520.866667,4944.472727
1,193.2,2214.981818
1,2793.133333,4761.927273
-1,2684,4769.654545
1,24.26666667,2022.036364
0,1093.533333,2537.472727
1,990.8,2155.909091
-1,2098.8,3078.8
0,-269.8,672.9636364
-1,-655.4666667,12.85454545
-1,-4152.133333,-3704.163636
1,-3647.466667,-4016.363636
-1,-1670.466667,-2775.454545
0,-2818.466667,-4263.709091
1,-1345.8,-3109.527273
1,1758.066667,21.89090909
-1,2215.2,1169.290909
0,117.6666667,-174.9454545
1,190.6,261.1272727
1,589.9333333,946.3090909
-1,2214.4,2719.127273
1,946.0666667,1646.981818
-1,3493.133333,4199.4
0,727.7333333,1878.727273
0,356.6666667,1483.890909
-1,-360.4,635.5454545
0,-1726.866667,-1019.490909
0,-1563.4,-1347.436364
-1,-982.9333333,-1291.327273
1,-1990,-2570.363636
1,338.2666667,-567.3090909
1,1351.866667,588.8181818
-1,1431.466667,1058.109091
1,-112.4666667,-54.01818182
1,1005.066667,1207.472727
0,1751.6,2217.509091
1,1138.8,1829.090909
0,2550.8,3300.163636
1,1483.533333,2495.018182
0,2760.066667,3884.672727
1,1295.933333,2639.690909
1,2024.666667,3346.672727
0,2326.733333,3719.418182
-1,970.6666667,2414.418182
-1,-965.0666667,329.6363636
1,-2450.8,-1623.054545
0,40.46666667,221.6727273
-1,26.73333333,-68.87272727
-1,-800.0666667,-1078.472727
0,-1975.866667,-2416.618182
0,-889.2666667,-1533.290909
1,-925.4666667,-1578.909091
1,1613.8,896.6
0,2329.2,1978.127273
-1,1326.2,1494.363636
-1,-761.2,-231.7636364
-1,-1782.133333,-1306.345455
-1,-2256.666667,-2063.145455
-1,-2163.866667,-2469.909091
0,-3513.933333,-4316.2
-1,-1735.466667,-3132.181818
1,-1364.066667,-2924.509091
-1,269.9333333,-1274.563636
0,-83.53333333,-1259.290909
0,-89.93333333,-904.6
1,265.8666667,-192.8909091
-1,854.4,670.9090909
0,106.2666667,201.6909091
-1,43.4,205.6
1,-2763.2,-2576.945455
0,-1375.066667,-1639.509091
0,-574.6,-1104.509091
-1,76.53333333,-583.0545455
0,-1367.933333,-1969.054545
-1,-935.2666667,-1628.490909
0,-1518.733333,-2147.581818
0,-721.2,-1431.218182
0,-280.2,-976.1818182
1,197.3333333,-419.9818182
1,605,184.1090909
0,1358.933333,1161.236364
0,793.2,947.7272727
1,643.4,1010.963636
0,1598.866667,2094.054545
-1,1388.066667,2076.018182
0,-489.5333333,309.8363636
0,-654.0666667,-74.50909091
0,-255,82.01818182
-1,-244.0666667,-100.6
0,-1242.333333,-1292.890909
-1,-545.2666667,-867.4909091
0,-1041.266667,-1429.090909
1,-432.3333333,-938.9090909
1,669.9333333,154.2363636
0,962.6,650.2545455
0,624.8,594.0545455
0,775.6666667,931.9272727
0,419.7333333,771.0181818
0,377,802.9818182
0,15.33333333,432.7090909
1,251.6,570.7454545
1,1663.533333,1924.872727
-1,2682.2,3096.436364
0,572.6666667,1328.090909
1,48.06666667,840.3818182
0,333.2666667,1058.509091
1,447.4,1082.618182
-1,2057.666667,2552.327273
0,712.9333333,1314.345455
0,589.2,1195.254545
1,168.1333333,768.6545455
0,1307.733333,1823.854545
-1,765.6666667,1359.727273
1,24.4,584.3636364
1,512.5333333,959.3818182
-1,2927.733333,3336.418182
-1,-18.6,729.3090909
1,-1418.2,-788.4181818
-1,-383.3333333,-58.61818182
0,-1559.733333,-1404.963636
0,-1025.666667,-1252.8
-1,-160.5333333,-697.4
-1,-1006.733333,-1541.254545
0,-1476.866667,-2068.054545
0,-952.1333333,-1672.145455
1,-560.6666667,-1266.272727
1,627.6666667,-8.236363636
-1,2904.333333,2478.890909
-1,680.4,846.3272727
0,-424.7333333,3.309090909
-1,-473.9333333,-38.8
1,-1161.6,-815.5272727
0,-270.3333333,-219
1,-340.7333333,-511.7272727
-1,893.2666667,608.4181818
1,197.2,58.70909091
0,1065.6,1010
1,621.9333333,815.7090909
0,2022.666667,2367.981818
-1,1068.933333,1718.054545
0,-506.3333333,235.7818182
0,-635.8666667,-55.25454545
1,-712,-378.7454545
1,1240.333333,1312.818182
1,2730.2,2822.4
0,2263.066667,2706.381818
-1,1599.533333,2400
0,31.26666667,1080.254545
1,173.3333333,1162.090909
0,2549.866667,3371.836364
1,2144.4,3080.490909
-1,3063.666667,4080.781818
0,308.5333333,1596.218182
-1,-228.6666667,957.5454545
1,-2101.733333,-1148.054545
-1,128.6,475.3636364
0,-1709.8,-1620.854545
